created_at,field1,field2,field3,field4,field5,field6
2021-11-17T12:19:02+07:00,727.11346,8,0,2.14844,30,72
2021-11-17T12:20:36+07:00,735.83112,8,0,2.19727,30,70
2021-11-17T12:21:37+07:00,731.46362,8.54374,0,2.29492,30,71
2021-11-17T12:24:37+07:00,788.22797,8.86845,0,2.73438,30,71
2021-11-17T12:26:20+07:00,488.02957,8.54246,0,3.125,30,71
2021-11-17T12:28:04+07:00,488.02957,8.43521,0,4.73633,30,71
2021-11-17T12:29:47+07:00,485.89975,8.43521,0,6.10352,31,70
2021-11-17T12:31:30+07:00,485.89975,8.32865,0,6.54297,31,70
2021-11-17T12:33:14+07:00,485.89975,8.11765,0.00542,0,31,70
2021-11-17T12:46:40+07:00,1040.0848,8.33613,0,3.27148,31,70
2021-11-17T12:48:23+07:00,674.53229,7.92405,0,2.97852,31,70
2021-11-17T12:50:06+07:00,728.27203,7.82271,0,2.92969,31,70
2021-11-17T13:02:37+07:00,834.11603,8.53716,0,2.83203,31,72
2021-11-17T13:04:20+07:00,526.09906,8.10209,0,4.49219,31,71
2021-11-17T13:06:05+07:00,529.25195,8.10209,0.02202,7.51953,31,70
2021-11-17T13:07:50+07:00,532.41693,7.99513,0,5.85938,31,69
2021-11-17T13:09:35+07:00,535.59387,7.88889,0,6.83594,31,68
2021-11-17T13:11:18+07:00,725.0885,8.53716,0,11.13281,32,69
2021-11-17T13:13:02+07:00,840.46478,8.75908,0,8.39844,32,69
2021-11-17T13:14:45+07:00,576.00977,8.53716,0,7.08008,32,68
2021-11-17T13:16:30+07:00,579.45239,8.53716,0.00293,6.73828,32,67
2021-11-17T13:18:14+07:00,907.8866,8.4273,0,7.12891,32,68
2021-11-17T13:19:58+07:00,576.00977,8.4273,0,5.61523,32,68
2021-11-17T13:21:41+07:00,572.58044,8.4273,0.00376,5.27344,32,69
2021-11-17T13:23:25+07:00,917.30505,8.64776,0.01289,4.3457,31,68
2021-11-17T13:25:09+07:00,854.26965,8.64776,0.00957,3.125,31,68
2021-11-17T13:26:54+07:00,634.72522,8.53716,0,2.92969,31,67
2021-11-17T13:28:37+07:00,983.3728,8.75908,0,2.97852,31,68
2021-11-17T13:30:22+07:00,630.96802,8.53716,0.01206,4.00391,31,68
2021-11-17T13:32:05+07:00,630.96802,8.53716,0,4.78516,31,68
2021-11-17T13:33:49+07:00,538.7829,8.4273,0,7.4707,31,67
2021-11-17T13:35:33+07:00,538.7829,7.99513,0,9.17969,31,67
2021-11-17T13:37:16+07:00,579.45239,7.88889,0.00127,6.10352,32,67
2021-11-17T13:39:01+07:00,579.45239,7.88889,0.00874,4.6875,32,67
2021-11-17T13:40:46+07:00,579.45239,7.78338,0.00376,3.80859,32,67
2021-11-17T13:42:30+07:00,585.45038,7.78338,0,4.73633,31,67
2021-11-17T13:44:13+07:00,585.45038,7.78338,0,5.12695,31,67
2021-11-17T13:45:57+07:00,576.00977,7.67857,0.02285,7.37305,32,68
2021-11-17T13:47:40+07:00,913.31281,7.88889,0.03115,5.37109,32,67
2021-11-17T13:49:24+07:00,588.92889,7.78338,0.04775,3.80859,31,66
2021-11-17T13:51:07+07:00,579.45239,7.78338,0.00376,2.68555,32,67
2021-11-17T13:52:52+07:00,588.92889,7.88889,0.02368,2.63672,31,66
2021-11-17T13:54:37+07:00,585.45038,7.78338,0.00708,2.73438,31,67
2021-11-17T13:56:19+07:00,913.31281,8.64114,0,3.36914,32,67
2021-11-17T14:11:33+07:00,628.22211,8.64114,0.01289,3.32031,32,67
2021-11-17T14:26:47+07:00,679.64398,8.75908,0,3.75977,32,67
2021-11-17T14:42:01+07:00,741.38666,9.36092,0,5.32227,31,67
2021-11-17T14:57:15+07:00,732.62671,9.36092,0,1.51367,31,69
2021-11-17T15:54:07+07:00,1064.0398,8.64706,0,1.2207,30,79
2021-11-17T16:09:17+07:00,1361.0782,8.75908,0,1.2207,30,80
2021-11-17T16:30:44+07:00,505.79538,8.63788,0,0.97656,29,81
2021-11-17T16:45:58+07:00,321.0871,8.63788,0,0.87891,29,81
2021-11-17T17:00:10+07:00,499.6817,8.54117,0,1.07422,29,83
2021-11-17T17:33:55+07:00,1193.6853,8.75908,0,1.26953,29,83
2021-11-17T17:49:09+07:00,588.66095,8.55555,0.01538,1.02539,29,83
